default,default response
"When he grew up he would be a diver. That was it. Then he would step
down into the sea from the deck of a ship and enter strange realms and
countries where great and wonderful forests stood swaying and a castle
of coral lay at the bottom. And the Princess beckoned to him from a
window and said ""Come in!""","Then he heard his name called; his father stood behind him and shouted
""Johannes!"""
"Then he heard his name called; his father stood behind him and shouted
""Johannes!""","""There's a message for you from the Castle. You're to row the children
over to the island!"""
"""The Mansion"" looked like a little castle in the green landscape,
indeed it was like a stupendous palace in its solitude. The house was
built of wood and painted white, with many bow-windows in its walls
and roof, and a flag flew on the round tower when there were visitors.
People called it the Castle. And outside its grounds lay the bay to one
side, and to the other the great forests; far away some little farms
were to be seen.","Johannes appeared at the landing-stage and got the young people into
the boat. He knew them of old; they were the children of the ""Castle""
and their friends from town. They all had on high boots for wading; but
Victoria, who only had little shoes on and besides was not more than
ten, she had to be carried ashore when they reached the island."
"Johannes appeared at the landing-stage and got the young people into
the boat. He knew them of old; they were the children of the ""Castle""
and their friends from town. They all had on high boots for wading; but
Victoria, who only had little shoes on and besides was not more than
ten, she had to be carried ashore when they reached the island.","""Shall I carry you?"" asked Johannes."
"""Shall I carry you?"" asked Johannes.","""Let me!"" said Otto, the gentleman from town, a man nearly old enough
to leave school, and he took her in his arms."
"""I hold you responsible for the boat,"" said Otto.","""I could show you where there are some wild raspberries?"" suggested
Johannes."
"""Are there pearls in them?"" asked Otto.","""Fancy, if there were!"" said Victoria."
"""If you like I can go up the rocks there and roll a big stone down into
the sea,"" he said.","""What for?"""
"""What for?""","""Oh nothing. But you could watch it."""
"""What's the matter with him? Where's he going?"" said Otto impatiently.","""Where are you going, Johannes?"" cried Victoria running after him."
"""Victoria!"" he called.","""Yes,"" came the answer."
"""That's the stone the giant was sitting on.""","""Ugh, stop, don't tell me! Weren't you frightened?"""
"""Ugh, stop, don't tell me! Weren't you frightened?""","""No."""
"""No.""","""Well, but you said he only had one eye; then he must have been a
troll."""
"""He had two eyes, but he was blind of one. He said so himself.""","""What else did he say? No, don't tell me!"""
"""What else did he say? No, don't tell me!""","""He asked if I would serve him."""
"""He asked if I would serve him.""","""Oh, but you wouldn't, would you? How awful!"""
"""Oh, but you wouldn't, would you? How awful!""","""Well I didn't say no. Not right out."""
"""Well I didn't say no. Not right out.""","""Are you mad? Do you want to be shut up inside the mountain?"""
"""Are you mad? Do you want to be shut up inside the mountain?""","""Well, I don't know. Things are pretty bad on earth too."""
"""Grown-up men?""","""Yes, he has. In town."""
"""What will you do?""","""I shall take service with the giant."""
"""I shall take service with the giant.""","""Oh, but you're mad, do you hear!"" screamed Victoria."
"""Oh, but you're mad, do you hear!"" screamed Victoria.","""Oh well, it's all the same to me. I shall do it."""
"""He'll come.""","""Here?"" she asked quickly."
"""Here?"" she asked quickly.","""Yes."""
"""Well, good-bye,"" said Victoria.","""No, I can go with you a little farther."""
"""No, I can go with you a little farther.""","But her heartlessness in being so ready to bid him good-bye had made
him bitter, stirred up the wrath in his wounded heart. He stopped
abruptly and said with righteous indignation: ""But I'll tell you this,
Victoria, you won't get anybody who would have been so kind to you as I
should. That's all I've got to say."""
